cascade_id,cascade_size,event_count,community_count,avg_propagation_delay,max_propagation_delay,total_marginal_gain
1,605,801,13,2.749281654182272,13.0,39799.754968
2,611,861,13,2.812764319396051,13.25,42594.343271000005
3,612,808,13,2.7108110334158417,13.0,40832.853414000005
4,631,841,13,2.7978493115338883,13.25,39775.607196
5,620,827,13,2.7445351293833133,13.0,40644.477460999995
6,604,804,13,2.8697534141791046,13.0,39268.933072
7,628,840,13,2.842887852380952,13.25,41635.578368
8,629,832,13,2.7399391430288462,13.25,40620.100837000005
9,626,805,13,2.751951591304348,13.0,39446.076012000005
10,621,878,13,2.688799850797267,13.25,43166.854154
11,621,817,13,2.94150735373317,13.25,39342.042589000004
12,618,800,13,2.8089072425,13.25,39196.947505000004
13,635,831,13,2.6732832888086646,13.0,42424.871551000004
14,622,819,13,2.791710277167277,13.25,40588.052992
15,624,817,13,2.6352343990208076,13.0,40869.229330999995
16,626,840,13,2.738847317857143,13.0,41426.477474
17,641,822,13,2.7567368613138683,13.0,39200.439815000005
18,639,851,13,2.8833011586368977,12.5,41208.849195999996
19,606,821,13,2.767101185140073,13.25,41931.480037
20,636,813,13,2.6194029581795815,12.0,40457.842565
21,619,838,13,2.8114084940334134,13.25,40074.314565
22,615,818,13,2.751139056234719,12.0,39787.915037
23,638,852,13,2.672436470657277,13.25,42281.58701
24,634,867,13,2.8276770841983856,13.0,40869.826085
25,588,781,13,2.73596528681178,13.0,39773.259216
26,623,841,13,2.744527020214031,13.25,41484.10559100001
27,601,790,13,2.731729956962025,13.0,38787.391665
28,616,881,13,2.8341125686719644,13.0,41238.688068
29,608,813,13,2.810075359163591,13.0,41357.675647
30,622,841,13,2.7235514197384063,13.0,42127.75606
31,618,820,13,2.70164731097561,13.0,41896.09926
32,605,827,13,2.8898068198307136,13.25,41203.456463
33,640,838,13,2.8751761563245823,13.0,40337.252912
34,615,785,13,2.7318577464968152,13.0,39227.323764
35,614,815,13,2.877167202453988,13.25,39791.088601999996
36,625,828,13,2.805845507246377,13.0,41752.356983000005
