node,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,raw_in_degree,raw_out_degree,raw_total_degree
tdn.com,0.029197080291970802,0.006256517205422315,0.022940563086548488,0.005394157399177384,0.2015863493606013,0.029790294095557203,0.0009196163194459774,6,22,28
azstarnet.com,0.00521376433785193,0.00521376433785193,0.0,0.0,0.19330383563960205,0.023026881829048187,0.0008371840468593382,5,0,5
wikio.com,0.06256517205422316,0.008342022940563087,0.054223149113660066,0.020972133748192772,0.210102981949867,0.05602409646203599,0.0010826004364766807,8,52,60
thestate.com,0.009384775808133473,0.00521376433785193,0.004171011470281543,0.00299752934987058,0.19147498884869552,0.02447196614094999,0.0016920230796767213,5,4,9
ctv.ca,0.013555787278415016,0.011470281543274244,0.0020855057351407717,0.0022342984922896275,0.20424479782617067,0.0385306926726769,0.0014266599925062949,11,2,13
cnsnews.com,0.022940563086548488,0.01042752867570386,0.01251303441084463,0.005763825371292662,0.2119099661574108,0.04796517670278186,0.0017895266137976963,10,12,22
seattletimes.nwsource.com,0.040667361835245046,0.013555787278415016,0.027111574556830033,0.017077849779082718,0.22427211147317205,0.07934224787923543,0.001827126535366368,13,26,39
cnn.com,0.035453597497393116,0.01251303441084463,0.022940563086548488,0.010918395854203533,0.21240818708097842,0.05273486207580787,0.0021033698991470297,12,22,34
edition.cnn.com,0.016684045881126174,0.0072992700729927005,0.009384775808133473,0.00181239586984321,0.20302085896279287,0.03854855613072299,0.0008506619367073396,7,9,16
aikenstandard.com,0.0031282586027111575,0.0031282586027111575,0.0,0.0,0.19099451363969117,0.019876520357592325,0.0006514977825024812,3,0,3
startribune.com,0.11366006256517205,0.01564129301355579,0.09801876955161627,0.0464749058416465,0.23135539625721593,0.08385999246981009,0.001894538021068321,15,94,109
baltimoresun.com,0.027111574556830033,0.01042752867570386,0.016684045881126174,0.00845398016384963,0.21831079074935839,0.05157662508198293,0.0023147379197601585,10,16,26
northjersey.com,0.027111574556830033,0.01564129301355579,0.011470281543274244,0.010501826128553285,0.2239015668858558,0.06280667269720794,0.002463175034695532,15,11,26
gazette.com,0.013555787278415016,0.009384775808133473,0.004171011470281543,0.0023963851264764855,0.2054057193750121,0.04760338630965005,0.0010531099219185528,9,4,13
mysinchew.com,0.013555787278415016,0.009384775808133473,0.004171011470281543,0.002919311121467964,0.20650121654501216,0.04453309149164572,0.0015920408133848207,9,4,13
bismarcktribune.com,0.016684045881126174,0.0072992700729927005,0.009384775808133473,0.002369129727580786,0.20370751350268956,0.04932807391410577,0.0008226488774779519,7,9,16
usatoday.com,0.026068821689259645,0.01042752867570386,0.01564129301355579,0.007732335829272781,0.21149656396045918,0.05307992151355527,0.001374410186205625,10,15,25
foxnews.com,0.016684045881126174,0.009384775808133473,0.0072992700729927005,0.0019906882039914886,0.20792700169952316,0.044310130157999866,0.0009973742775623328,9,7,16
msnbc.msn.com,0.01981230448383733,0.01564129301355579,0.004171011470281543,0.004967411835489007,0.22998120213434742,0.08403890822333067,0.003758080555421919,15,4,19
stltoday.com,0.021897810218978103,0.01251303441084463,0.009384775808133473,0.005997800922024818,0.21673958153964692,0.05638460282273264,0.0019996833565116196,12,9,21
celebitchy.com,0.01251303441084463,0.0072992700729927005,0.00521376433785193,0.0012005612749636106,0.20302085896279287,0.04034340183012039,0.0013128333735106155,7,5,12
celebritymound.com,0.01042752867570386,0.009384775808133473,0.0010427528675703858,6.414533987888288e-05,0.20419623809863297,0.04284101786640572,0.0025574424376376445,9,1,10
whatsonwinnipeg.com,0.006256517205422315,0.004171011470281543,0.0020855057351407717,0.000338471901254368,0.18913666902674703,0.022161459332880294,0.0007075723863845114,4,2,6
64.90.166.18,0.03232533889468196,0.00521376433785193,0.027111574556830033,0.0037705649074369824,0.19324980157955682,0.028501423328135607,0.0009862103011821543,5,26,31
celebrityblend.com,0.01251303441084463,0.008342022940563087,0.004171011470281543,0.0009037213420488911,0.20888851384611057,0.05574130866128655,0.0010247108222547583,8,4,12
nydailynews.com,0.028154327424400417,0.01981230448383733,0.008342022940563087,0.012905517273324743,0.23455893268310554,0.09317338676002228,0.0032141580566676293,19,8,27
salon.com,0.045881126173096975,0.009384775808133473,0.03649635036496351,0.013072154790989948,0.2131599266341553,0.056374892558675886,0.0009230327074258913,9,35,44
wyomingnews.com,0.028154327424400417,0.0031282586027111575,0.02502606882168926,0.007594170958644322,0.191881661391383,0.022861905937263068,0.000538984511579375,3,24,27
kolotv.com,0.0031282586027111575,0.0031282586027111575,0.0,0.0,0.17540186699534074,0.009102913715426158,0.00040682234732080535,3,0,3
abluteau.wordpress.com,0.01981230448383733,0.009384775808133473,0.01042752867570386,0.0035794211206762686,0.2081665489365042,0.04668974271317529,0.000955004594330782,9,10,19
publicbroadcasting.net,0.027111574556830033,0.006256517205422315,0.02085505735140772,0.002217155598088243,0.1982683589724422,0.029871483703077725,0.0006894108299027072,6,20,26
mobile.reuters.com,0.016684045881126174,0.0072992700729927005,0.009384775808133473,0.0011666108258761342,0.20031991627149182,0.034432777131355105,0.0006731489876964089,7,9,16
news.com.au,0.035453597497393116,0.017726798748696558,0.017726798748696558,0.010815192927068226,0.23284608824340933,0.1087235429791577,0.003091695710626013,17,17,34
iafrica.com,0.013555787278415016,0.008342022940563087,0.00521376433785193,0.0009218990682852164,0.20173639502443502,0.04604363435022852,0.0013574114946318648,8,5,13
washingtontimes.com,0.022940563086548488,0.01251303441084463,0.01042752867570386,0.00892636883589826,0.21476453780929353,0.06020872430057141,0.0029427391928624385,12,10,22
timesleader.com,0.009384775808133473,0.004171011470281543,0.00521376433785193,0.0008534555105100214,0.18532160459167757,0.016313494177646486,0.0005876561368814951,4,5,9
philly.com,0.03232533889468196,0.014598540145985401,0.017726798748696558,0.012382563261456403,0.2287197018694755,0.07422972802422725,0.002205144984566236,14,17,31
bostonherald.com,0.02502606882168926,0.016684045881126174,0.008342022940563087,0.00983421167497956,0.22690066698646166,0.08231524743400945,0.003224239008233651,16,8,24
livenews.com.au,0.013555787278415016,0.0072992700729927005,0.006256517205422315,0.004418651000503445,0.20681636529212397,0.03988495296777412,0.0024083404695412194,7,6,13
www2.journalnow.com,0.02502606882168926,0.01042752867570386,0.014598540145985401,0.010345135769993932,0.2041678694654075,0.03772750494217355,0.0017437057643349563,10,14,24
topics.cnn.com,0.0020855057351407717,0.0020855057351407717,0.0,0.0,0.16834016284253978,0.007060083545045419,0.00046723831734254593,2,0,2
