degree_centrality_node,degree_centrality_score,in_degree_centrality_node,in_degree_centrality_score,out_degree_centrality_node,out_degree_centrality_score,betweenness_centrality_node,betweenness_centrality_score,closeness_centrality_node,closeness_centrality_score,pagerank_node,pagerank_score
startribune.com,0.11366006256517205,feedproxy.google.com,0.022940563086548488,startribune.com,0.09801876955161627,freerepublic.com,0.05702629084986619,open.salon.com,0.24373457438428817,blogs.myspace.com,0.005809537092552494
smh.com.au,0.09071949947862357,sott.net,0.022940563086548488,smh.com.au,0.07612095933263817,feedproxy.google.com,0.04920798300553083,sfgate.com,0.24275221380683248,sott.net,0.005618637874712677
freerepublic.com,0.08550573514077164,sfgate.com,0.022940563086548488,freerepublic.com,0.06569343065693431,startribune.com,0.0464749058416465,freerepublic.com,0.24199361313868614,open.salon.com,0.005242164922067266
wral.com,0.06465067778936393,open.salon.com,0.022940563086548488,wral.com,0.059436913451511995,theglobeandmail.com,0.031948254360793016,feedproxy.google.com,0.23879545966108234,detnews.com,0.004872960173202243
wikio.com,0.06256517205422316,nydailynews.com,0.01981230448383733,wikio.com,0.054223149113660066,blogs.myspace.com,0.030937227595494377,sott.net,0.23785243239607587,feedproxy.google.com,0.004551341448827102
theglobeandmail.com,0.06256517205422316,freerepublic.com,0.01981230448383733,wbt.com,0.05213764337851929,sott.net,0.02935914719729828,nydailynews.com,0.23455893268310554,facebook.com,0.004417909728939926
sott.net,0.059436913451511995,theglobeandmail.com,0.01981230448383733,news.bbc.co.uk,0.04275286757038582,smh.com.au,0.027620649044231664,news.com.au,0.23284608824340933,bulletin.aarp.org,0.00408717332332924
news.bbc.co.uk,0.05735140771637122,post-gazette.com,0.018769551616266946,theglobeandmail.com,0.04275286757038582,huffingtonpost.com,0.02720000552005836,huffingtonpost.com,0.23284608824340933,article.wn.com,0.004032801780069476
blogs.myspace.com,0.056308654848800835,stuff.co.nz,0.018769551616266946,washingtonpost.com,0.03962460896767466,wral.com,0.026767942679494304,kansascity.com,0.23224751218108694,theglobeandmail.com,0.003995627590932649
huffingtonpost.com,0.056308654848800835,clipmarks.com,0.018769551616266946,huffingtonpost.com,0.03858185610010428,open.salon.com,0.02673967982406718,startribune.com,0.23135539625721593,sfgate.com,0.003925490384999397
